wvls,l_star,g
520.0,15905.594830214064,0.03977120081713993
521.0,16052.201169929593,0.038642801801192034
522.0,16198.075877962974,0.037479753321018085
523.0,16343.068349809624,0.036279639166303036
524.0,16487.037888179886,0.03504000597559082
525.0,16629.82424383922,0.03375836697888447
526.0,16771.281983860405,0.032432206086456805
527.0,16911.248339505088,0.031058982254618093
528.0,17049.559859413654,0.029636134122251957
529.0,17186.060668838025,0.028161084985967633
530.0,17320.576746311763,0.026631247963716947
531.0,17452.945936724343,0.025044031560564294
532.0,17583.000473200653,0.023396845352297944
533.0,17710.576132368267,0.021687106078248888
534.0,17835.49211712814,0.019912243837692637
535.0,17957.587898464048,0.01806970860665245
536.0,18076.69313243074,0.016156976935005982
537.0,18192.639776314223,0.014171558852089185
538.0,18305.261534453428,0.012111004901286995
539.0,18414.398789117542,0.009972913375609314
540.0,18519.89336494006,0.007754937676561442
541.0,18621.58779725063,0.005454793748717657
542.0,18719.33451902189,0.003070267590899164
543.0,18812.97702472868,0.0005992228420686282
544.0,18902.387392153203,-0.001960391643363857
545.0,18987.423229925807,-0.00461053422861926
546.0,19067.962579965155,-0.007353062954504785
547.0,19143.882264873362,-0.010189728107955393
548.0,19215.065157281868,-0.01312216491519126
549.0,19281.41465043774,-0.01615188629699255
550.0,19342.835961591012,-0.01928027589573979
551.0,19399.24932711276,-0.02250858125755712
552.0,19450.56653928833,-0.025837907277705827
553.0,19496.73216894726,-0.029269209891586812
554.0,19537.687669902134,-0.03280329009951299
555.0,19573.39823978169,-0.03644078827708349
556.0,19603.823599438816,-0.04018217886632057
557.0,19628.95739251031,-0.044027765451895885
558.0,19648.781284636487,-0.04797767614910659
559.0,19663.30423630629,-0.052031859540183294
560.0,19672.54812157551,-0.056190080918548796
561.0,19676.53009671189,-0.06045191903234796
562.0,19675.309893905123,-0.06481676325159026
563.0,19668.91808342876,-0.06928381119234435
564.0,19657.440140986007,-0.07385206680762496
565.0,19640.938031240992,-0.0785203388680246
566.0,19619.514014069795,-0.08328724000995959
567.0,19593.261894672378,-0.08815118604605114
568.0,19562.28859773615,-0.0931103958514526
569.0,19526.728091664154,-0.09816289157103729
570.0,19486.7007619899,-0.10330649918139807
571.0,19442.344843361527,-0.10853884952715387
572.0,19393.831261514035,-0.11385737953597543
573.0,19341.30009600657,-0.1192593338623503
574.0,19284.930407511227,-0.12474176670165735
575.0,19224.90274430995,-0.13030154390135307
576.0,19161.39257493575,-0.1359353452218591
577.0,19094.592926402944,-0.14163966682073487
578.0,19024.71341984206,-0.147410823722535
579.0,18951.94736832302,-0.1532449525280806
580.0,18876.50555373798,-0.15913801400844457
581.0,18798.610123776925,-0.16508579583608693
582.0,18718.479531895187,-0.17108391510169724
583.0,18636.33674915214,-0.17712782090473128
584.0,18552.41772738493,-0.18321279674292731
585.0,18466.94745261853,-0.18933396276222414
586.0,18380.16647067177,-0.19548627781116404
587.0,18292.316243636185,-0.20166454133715436
588.0,18203.642026280795,-0.20786339497339967
589.0,18114.37562907722,-0.2140773240041311
590.0,18024.781480765952,-0.22030065845359603
591.0,17935.10507314155,-0.22652757405450946
592.0,17845.597261546038,-0.2327520929473971
593.0,17756.51214735974,-0.23896808413035356
594.0,17668.11934514037,-0.24516926390712254
595.0,17580.667113374406,-0.25134919606458433
596.0,17494.434528480077,-0.2575012922057782
597.0,17409.664599860276,-0.2636188120044274
